target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED,CATEGORY,raid_id,AIR FORCE,DAY,MONTH,YEAR,TIME OF ATTACK,AVG_ALTITUDE,TOTAL_AIRCRAFT,Year
MEPPEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,2.5,20.0,1,3.2903001908728093,4.145539357905837,6.2,6.4,INDUSTRIAL,17546,8.0,14.0,2.0,5.0,,,1.0,1945
MEPPEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,17547,8.0,24.0,2.0,5.0,,,1.0,1945
MERLIMONT PLAGE,TACTICAL TARGET,BOOK_15_TACTICAL,12.0,0.0,0,5.527676557348603,0.0,1.7,1.8,TACTICAL,17559,8.0,10.0,6.0,1.0,750.0,232.5,3.0,1941
MERLIMONT PLAGE,TACTICAL TARGET,BOOK_15_TACTICAL,25.0,0.0,0,6.226791601596391,0.0,1.9,2.0,TACTICAL,17560,8.0,10.0,5.0,4.0,757.0,240.0,13.0,1944
MERLIMONT PLAGE,TACTICAL TARGET,BOOK_15_TACTICAL,41.0,0.0,0,7.113309040430331,0.0,2.1,2.2,TACTICAL,17561,8.0,10.0,6.0,4.0,801.0,220.0,2.0,1944
MERLIMONT PLAGE,TACTICAL TARGET,BOOK_15_TACTICAL,54.0,0.0,0,7.474058650008676,0.0,2.2,2.3,TACTICAL,17562,8.0,11.0,6.0,4.0,745.0,226.25,133.0,1944
MERLIMONT PLAGE,TACTICAL TARGET,BOOK_15_TACTICAL,120.0,0.0,0,8.802706923477356,0.0,2.6,2.7,TACTICAL,17563,8.0,3.0,6.0,4.0,930.0,224.6,45.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,15.0,0.0,0,5.71889640812077,0.0,1.7,1.8,OILREFINERIES,17564,8.0,12.0,5.0,1.0,1407.0,258.3333333333333,44.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,49.0,0.0,0,7.306611140031234,0.0,2.2,2.3,OILREFINERIES,17565,8.0,20.0,7.0,1.0,1130.0,251.0,34.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,50.0,0.0,0,7.340968245705362,0.0,2.2,2.3,OILREFINERIES,17566,8.0,29.0,7.0,1.0,1028.0,241.5,22.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,51.5,0.0,0,7.39614783966684,0.0,2.2,2.3,OILREFINERIES,17567,8.0,28.0,9.0,1.0,1200.0,254.5,19.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,28.0,0.0,0,6.395800798195385,0.0,1.9,2.0,OILREFINERIES,17568,9.0,21.0,11.0,1.0,1134.0,220.5,11.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,60.0,0.0,0,7.646191219850772,0.0,2.3,2.4,OILREFINERIES,17569,8.0,30,11.0,1.0,1332.0,247.0,24.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,72.0,0.0,0,7.98160680201284,0.0,2.4,2.5,OILREFINERIES,17570,8.0,12,12.0,1.0,1147.0,250.0,24.0,1941
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,55.0,0.0,0,7.504077737289606,0.0,2.3,2.4,OILREFINERIES,17571,8.0,2.0,1.0,4.0,1215.0,275.0,24.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,33.0,0.0,0,6.722019781363873,0.0,2.0,2.1,OILREFINERIES,17572,8.0,25.0,1.0,4.0,1213.0,265.0,13.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,37.5,0.0,0,6.965989935797328,0.0,2.1,2.2,OILREFINERIES,17573,8.0,2.0,1.1,4.0,1221.0,274.0,16.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,30.0,0.0,0,6.531667534270346,0.0,2.0,2.1,OILREFINERIES,17574,8.0,25.0,1.1,4.0,1205.0,267.0,12.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,318.875,0.0,0,9.569495054659033,0.0,2.9,3.0,OILREFINERIES,17575,8.0,12.0,5.0,4.0,1348.0,254.75,213.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,97.0,0.0,0,8.472496963387124,0.0,2.5,2.6,OILREFINERIES,17576,8.0,28.0,5.0,4.0,1450.0,245.8,66.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,286.875,0.8714596949891068,0,9.510324483775811,0.7331138497994543,3.1,3.2,OILREFINERIES,17577,8.0,20.0,7.0,4.0,1120.0,251.5,114.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,1116.5,0.0,0,9.962172479611311,0.0,3.0,3.1,OILREFINERIES,17578,8.0,28,7.0,4.0,930.0,248.95238095238096,518.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,261.0,0.0,0,9.462606281450633,0.0,2.8,2.9,OILREFINERIES,17579,8.0,28.0,7.0,4.0,942.0,253.33333333333337,130.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,1341.375,0.0,0,9.977095262883914,0.0,3.0,3.1,OILREFINERIES,17580,8.0,29.0,7.0,4.0,940.0,254.48888888888888,515.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,109.0,2.752293577981652,0,8.69148013187576,2.3153618604904787,3.3,3.4,OILREFINERIES,17581,8.0,7.0,7.0,4.0,1002.0,253.6,53.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,101.0,0.0,0,8.560298455665452,0.0,2.6,2.7,OILREFINERIES,17582,8.0,13.0,8.0,4.0,800.0,263.5,39.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,423.0,0.0,0,9.705882352941176,0.0,2.9,3.0,OILREFINERIES,17583,8.0,24.0,8.0,4.0,1205.0,252.1875,179.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,249.0,0.0,0,9.42443171959049,0.0,2.8,2.9,OILREFINERIES,17584,8.0,13.0,9.0,4.0,1112.0,281.44444444444446,95.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,689.0,0.0,0,9.878882526461911,0.0,3.0,3.1,OILREFINERIES,17585,8.0,28.0,9.0,4.0,1152.0,254.03571428571428,294.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,46.0,0.0,0,7.242234947076176,0.0,2.2,2.3,OILREFINERIES,17586,8.0,28.0,10.0,4.0,1235.0,265.0,19.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,256.0,0.0,0,9.449245184799585,0.0,2.8,2.9,OILREFINERIES,17587,8.0,7.0,10.0,4.0,1230.0,262.2,105.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,57.0,0.0,0,7.55457227138643,0.0,2.3,2.4,OILREFINERIES,17588,8.0,1.0,11.0,4.0,1333.0,267.0,23.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,1174.0,0.0,0,9.968766267568975,0.0,3.0,3.1,OILREFINERIES,17589,8.0,2.0,11.0,4.0,1200.0,263.5681818181818,516.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,95.0,0.0,0,8.4412632309561,0.0,2.5,2.6,OILREFINERIES,17590,8.0,20.0,11.0,4.0,930.0,241.25,38.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,372.0,0.0,0,9.640117994100294,0.0,2.9,3.0,OILREFINERIES,17591,8.0,21.0,11.0,4.0,930.0,207.21428571428572,150.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,15.0,0.0,0,5.71889640812077,0.0,1.7,1.8,OILREFINERIES,17592,8.0,22.0,11.0,4.0,600.0,261.0,198.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,116.0,0.0,0,8.762970674995662,0.0,2.6,2.7,OILREFINERIES,17593,8.0,24.0,11.0,4.0,1149.0,218.25,40.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,947.5,0.6332453825857519,0,9.937532535137947,0.5327165019387063,3.1,3.2,OILREFINERIES,17594,8.0,25.0,11.0,4.0,1147.0,252.66666666666663,333.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,417.68,0.4022217965906914,0,9.698420961304876,0.3383683393132033,3.0,3.1,OILREFINERIES,17595,8.0,26.0,11.0,4.0,1030.0,230.6428571428571,809.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,189.344,0.7098191651174582,0,9.218809647752908,0.5971340542687967,2.9,3.0,OILREFINERIES,17596,8.0,27.0,11.0,4.0,1149.0,258.3333333333333,70.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,64.0,0.0,0,7.759326739545376,0.0,2.3,2.4,OILREFINERIES,17597,8.0,28.0,11.0,4.0,1155.0,261.5,23.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,108.0,0.0,0,8.67725143154607,0.0,2.6,2.7,OILREFINERIES,17598,8.0,29.0,11.0,4.0,132.0,263.0,45.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,406.375,0.0,0,9.682804095089365,0.0,2.9,3.0,OILREFINERIES,17599,8.0,30,11.0,4.0,1313.0,262.85714285714283,401.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,OILREFINERIES,17600,8.0,30.0,11.0,4.0,1400.0,250.0,10.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,79.0,0.0,0,8.162762450112789,0.0,2.4,2.5,OILREFINERIES,17601,8.0,7.0,11.0,4.0,1230.0,257.3333333333333,36.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,513.0,0.0,0,9.785007808433107,0.0,2.9,3.0,OILREFINERIES,17602,8.0,8.0,11.0,4.0,1100.0,248.7058823529412,203.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,789.3,0.0,0,9.904216553878188,0.0,3.0,3.1,OILREFINERIES,17603,8.0,12,12.0,4.0,1141.0,245.125,588.0,1944
MERSEBURG,LEUNA SYN OIL,BOOK_2_OILREFINERIES,1335.5,0.0,0,9.97674822141246,0.0,3.0,3.1,OILREFINERIES,17604,8.0,6,12.0,4.0,1146.0,247.91489361702128,516.2,1944
MERY SUR OISE,NO BALL,BOOK_8_WEAPON,31.0,0.0,0,6.610966510498004,0.0,2.0,2.1,WEAPON,17607,8.0,2.0,2.0,4.0,1100.0,236.5,11.0,1944
MERY SUR OISE,NO BALL,BOOK_8_WEAPON,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,WEAPON,17608,8.0,2.0,3.0,4.0,1710.0,222.5,12.0,1944
MERY SUR OISE,NO BALL,BOOK_8_WEAPON,104.0,0.0,0,8.61391636300538,0.0,2.6,2.7,WEAPON,17609,8.0,4.0,3.0,4.0,1710.0,255.0,24.0,1944
MERY SUR OISE,NO BALL,BOOK_8_WEAPON,38.5,0.0,0,7.008502516050667,0.0,2.1,2.2,WEAPON,17610,8.0,6.0,3.0,4.0,1745.0,233.0,8.0,1944
MERY SUR OISE,NO BALL,BOOK_8_WEAPON,107.1,0.0,0,8.667013708138123,0.0,2.6,2.7,WEAPON,17611,8.0,5.0,7.0,4.0,600.0,240.4,35.0,1944
MERY SUR OISE,NO BALL,BOOK_8_WEAPON,9.0,0.0,0,5.230956099253861,0.0,1.6,1.6,WEAPON,17612,8.0,8.0,7.0,4.0,1000.0,240.0,3.0,1944
MERZHAUSEN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,236.0,24.152542372881356,0,9.389901093180637,4.434996475510884,4.1,4.2,AIRFIELDS,17613,8.0,24.0,12.0,4.0,1430.0,212.44444444444449,117.0,1944
MERZHAUSEN,UNIDENTIFIED TARGET 10,BOOK_6_INDUSTRIAL__PART_4,1.0,0.0,1,1.2540343571056742,0.0,4.4,4.5,INDUSTRIAL,17614,8.0,2.0,12.0,4.0,,,3.0,1944
MERZHAUSEN,UNIDENTIFIED TARGET 10,BOOK_6_INDUSTRIAL__PART_4,9.0,0.0,1,5.230956099253861,0.0,5.6,5.8,INDUSTRIAL,17615,8.0,24.0,12.0,4.0,,,3.0,1944
MESCHEDE,HENSELVERKE JET ENG,BOOK_7_AIRCRAFTPRODUCTION,57.0,0.0,0,7.55457227138643,0.0,2.3,2.4,AIRCRAFTPRODUCTION,17617,8.0,23.0,3.0,5.0,1351.0,220.0,19.0,1945
MESCHEDE,HENSELVERKE JET ENG,BOOK_7_AIRCRAFTPRODUCTION,28.5,0.0,0,6.42616692694777,0.0,1.9,2.0,AIRCRAFTPRODUCTION,17618,8.0,28.0,3.0,5.0,1200.0,220.0,19.0,1945
MESCHEDE,HENSELVERKE JET ENG,BOOK_7_AIRCRAFTPRODUCTION,91.2,0.0,0,8.394586153045289,0.0,2.5,2.6,AIRCRAFTPRODUCTION,17619,8.0,5.0,5.0,5.0,1430.0,220.0,19.0,1945
MESCHEDE,HONSEL JET ENG,BOOK_7_AIRCRAFTPRODUCTION,86.05,0.0581057524694944,0,8.317889987853547,0.048881356341945,2.5,2.6,AIRCRAFTPRODUCTION,17620,8.0,19.0,,5.0,1443.0,213.0,31.0,1945
MESCHEDE,JET ENG,BOOK_7_AIRCRAFTPRODUCTION,317.25,55.319148936170215,0,9.565851119208746,6.7865306950109865,4.9,5.1,AIRCRAFTPRODUCTION,17621,8.0,19.0,2.0,5.0,600.0,206.0,116.0,1945
MESNIL AU VAL,NO BALL,BOOK_8_WEAPON,50.0,0.0,0,7.340968245705362,0.0,2.2,2.3,WEAPON,17622,8.0,26.0,3.0,4.0,1508.0,192.0,20.0,1944
MESTYS,WILLACH UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_5,7.5,100.0,1,5.057088322054486,10.0,8.5,8.8,INDUSTRIAL,17623,8.0,3.0,11.0,3.0,1145.0,250.0,3.0,1943
MESTYS,WILLACH UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_5,11.0,72.72727272727273,1,5.44039562727746,7.698985497809023,7.9,8.1,INDUSTRIAL,17624,9.0,21.0,6.0,4.0,1400.0,250.0,1.0,1944
MESTYS,WILLACH UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_5,1.0,0.0,1,1.2540343571056742,0.0,4.4,4.5,INDUSTRIAL,17625,9.0,28.0,9.0,4.0,900.0,250.0,2.0,1944
MESTYS,WILLACH UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_5,1.0,0.0,1,1.2540343571056742,0.0,4.4,4.5,INDUSTRIAL,17626,9.0,29.0,10.0,4.0,1800.0,250.0,3.0,1944
MESTYS,WILLACH UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_5,20.0,0.0,1,5.975360055526635,0.0,5.8,6.0,INDUSTRIAL,17627,8.0,20.0,4.0,5.0,1158.0,182.0,9.0,1945
METZ,TACTICAL TARGETS,BOOK_15_TACTICAL,105.0,0.0,0,8.631615478049627,0.0,2.6,2.7,TACTICAL,17635,8.0,9.0,11.0,1.0,954.0,220.0,33.0,1941
METZ,TACTICAL TARGETS,BOOK_15_TACTICAL,1591.75,0.0,0,9.986812424084675,0.0,3.0,3.1,TACTICAL,17636,8.0,9,11.0,4.0,947.0,227.25581395348837,656.0,1944
METZ,TACTICAL TARGETS,BOOK_15_TACTICAL,388.6,0.0,0,9.662675689744924,0.0,2.9,3.0,TACTICAL,17637,8.0,9.0,11.0,4.0,800.0,219.1818181818182,178.0,1944
MEULAN LES MUREAUX,AIRDROME,BOOK_10_AIRFIELDS__PART_1,57.0,0.0,0,7.55457227138643,0.0,2.3,2.4,AIRFIELDS,17639,8.0,3,9.0,3.0,844.0,214.0,19.0,1943
MEUSELWITZ,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,30.0,0.0,1,6.531667534270346,0.0,6.0,6.2,INDUSTRIAL,17640,8.0,30.0,11.0,4.0,134.0,245.0,12.0,1944
MEZIERES,AIRDROME,BOOK_10_AIRFIELDS__PART_1,4.0,0.0,0,4.268783619642547,0.0,1.3,1.3,AIRFIELDS,17641,8.0,17.0,7.0,4.0,,,1.0,1944
MEZIERES,AIRDROME,BOOK_10_AIRFIELDS__PART_1,4.0,0.0,0,4.268783619642547,0.0,1.3,1.3,AIRFIELDS,17642,8.0,18.0,7.0,4.0,,,1.0,1944
MEZOTUR,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_1,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,TRANSPORTATION,17643,15.0,1.0,9.0,4.0,,,9.0,1944
MEZOTUR,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_1,40.0,0.0,0,7.079125455491932,0.0,2.1,2.2,TRANSPORTATION,17644,15.0,2.0,9.0,4.0,,,16.0,1944
MEZZOCORONA,BRIDGE,BOOK_11_TRANSPORTATION__PART_2,1.925,0.0,0,2.3864306784660765,0.0,0.7,0.7,TRANSPORTATION,17645,15.0,8.0,11.0,4.0,930.0,180.0,7.0,1944
MEZZOCORONA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_2,66.0,0.0,0,7.809994794377928,0.0,2.3,2.4,TRANSPORTATION,17646,15.0,13.0,9.0,4.0,1202.0,200.0,27.0,1944
MEZZOCORONA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_2,31.0,0.0,0,6.610966510498004,0.0,2.0,2.1,TRANSPORTATION,17647,15.0,15.0,10.0,4.0,1319.0,210.0,9.0,1944
MEZZOCORONA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_2,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,TRANSPORTATION,17648,15.0,26.0,12.0,4.0,1118.0,220.0,9.0,1944
MILAN,BREDA A W,BOOK_7_AIRCRAFTPRODUCTION,85.5,0.0,0,8.304702411938226,0.0,2.5,2.6,AIRCRAFTPRODUCTION,17666,15.0,20,10.0,4.0,1124.0,212.0,35.0,1944
MILAN,ISOTTA FRASCHINI W KS,BOOK_12_MANUFACTURING,64.0,0.0,0,7.759326739545376,0.0,2.3,2.4,MANUFACTURING,17667,15.0,20.0,10.0,4.0,1156.0,200.0,38.0,1944
MINDEN,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,TRANSPORTATION,17677,8.0,2,4.0,2.0,1308.0,263.0,12.0,1942
MINDEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,17678,8.0,8.0,5.0,4.0,1200.0,240.0,1.0,1944
MINDEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,17679,8.0,29.0,7.0,4.0,600.0,240.0,1.0,1944
MINDEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,30.0,33.33333333333333,1,6.531667534270346,5.083300538358647,7.5,7.7,INDUSTRIAL,17680,9.0,31.0,3.0,5.0,1124.0,240.0,10.0,1945
MIRAMAS,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,274.0,0.0,0,9.488460871074093,0.0,2.8,2.9,TRANSPORTATION,17681,15.0,12.0,7.0,4.0,1143.0,193.25,111.0,1944
MIRAMAS,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,257.0,0.0,0,9.452368558042686,0.0,2.8,2.9,TRANSPORTATION,17682,15.0,6.0,8.0,4.0,1157.0,219.0,87.8,1944
MIRAMAS,MISERY ROAD JUNCTION,BOOK_11_TRANSPORTATION__PART_2,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,TRANSPORTATION,17683,8.0,13.0,8.0,4.0,1304.0,206.0,12.0,1944
MISBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_4,1.925,0.0,1,2.3864306784660765,0.0,4.7,4.8,INDUSTRIAL,17684,8.0,1.0,12.0,4.0,,,2.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,197.1,0.0,0,9.250390421655387,0.0,2.8,2.9,OILREFINERIES,17721,8.0,24,8.0,4.0,1125.0,230.0,108.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,244.0,0.0,0,9.413152871768176,0.0,2.8,2.9,OILREFINERIES,17722,8.0,11,9.0,4.0,1238.0,232.75,127.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,62.0,0.0,0,7.706923477355544,0.0,2.3,2.4,OILREFINERIES,17723,8.0,12,9.0,4.0,1123.0,231.5,53.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,229.0,0.0,0,9.365087627971542,0.0,2.8,2.9,OILREFINERIES,17724,8.0,04,11.0,4.0,1203.0,237.66666666666663,81.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,103.0,0.0,0,8.602637515183066,0.0,2.6,2.7,OILREFINERIES,17725,8.0,05,11.0,4.0,1206.0,241.0,36.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,459.7,0.0,0,9.742842269651224,0.0,2.9,3.0,OILREFINERIES,17726,8.0,1.0,11.0,4.0,1242.0,257.6923076923077,153.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,80.0,0.0,0,8.184799583550234,0.0,2.5,2.6,OILREFINERIES,17727,8.0,12,11.0,4.0,1213.0,245.0,30.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,OILREFINERIES,17728,8.0,2.0,11.0,4.0,1258.0,247.0,12.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,466.0,0.0,0,9.746833246572963,0.0,2.9,3.0,OILREFINERIES,17729,8.0,26,11.0,4.0,1208.0,243.8571428571429,161.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,201.0,0.0,0,9.268783619642548,0.0,2.8,2.9,OILREFINERIES,17730,8.0,26.0,11.0,4.0,1216.0,247.0,69.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,33.0,0.0,0,6.722019781363873,0.0,2.0,2.1,OILREFINERIES,17731,8.0,27.0,11.0,4.0,1217.0,238.0,12.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,493.0,0.0,0,9.769911504424778,0.0,2.9,3.0,OILREFINERIES,17732,8.0,29.0,11.0,4.0,1232.0,256.0,168.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,178.0,0.0,0,9.167447509977444,0.0,2.8,2.9,OILREFINERIES,17733,8.0,30.0,11.0,4.0,1241.0,248.8,60.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,181.0,0.0,0,9.180808606628492,0.0,2.8,2.9,OILREFINERIES,17734,8.0,4,11.0,4.0,1208.0,235.0,68.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,233.0,0.0,0,9.378795766094049,0.0,2.8,2.9,OILREFINERIES,17735,8.0,31,12.0,4.0,1150.0,251.0,85.0,1944
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,69.0,0.0,0,7.8936317889987855,0.0,2.4,2.5,OILREFINERIES,17738,8.0,03,3.0,5.0,1036.0,270.0,23.0,1945
MISBURG,OIL REFINERY,BOOK_2_OILREFINERIES,126.0,0.0,0,8.847648794030887,0.0,2.7,2.8,OILREFINERIES,17739,8.0,14,3.0,5.0,1452.0,270.0,36.0,1945
MITROVICA,CITY AREA,BOOK_6_INDUSTRIAL__PART_1,5.0,0.0,1,4.5779975707097,0.0,5.4,5.6,INDUSTRIAL,17741,8.0,5.0,11.0,4.0,1152.0,180.0,2.0,1944
MITROVICA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_1,256.0,0.0,0,9.449245184799585,0.0,2.8,2.9,TRANSPORTATION,17742,15.0,1.0,9.0,4.0,1022.0,178.5,56.0,1944
MITROVICA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_1,139.0,0.0,0,8.938226618080861,0.0,2.7,2.8,TRANSPORTATION,17743,15.0,19.0,9.0,4.0,1004.0,186.5,48.0,1944
MITROVICA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_1,137.0,0.0,0,8.921221585979524,0.0,2.7,2.8,TRANSPORTATION,17744,15.0,2.0,9.0,4.0,1000.0,190.0,55.0,1944
MITROVICA,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_1,62.0,0.0,0,7.706923477355544,0.0,2.3,2.4,TRANSPORTATION,17745,15.0,4.0,9.0,4.0,1120.0,170.0,28.0,1944
MITROVICA,TROOP CONCENTRATION,BOOK_15_TACTICAL,8.0,0.0,0,5.11677945514489,0.0,1.5,1.5,TACTICAL,17746,15.0,12.0,4.0,4.0,1203.0,233.0,33.0,1944
MITROVICA,TROOP CONCENTRATION,BOOK_15_TACTICAL,17.0,0.0,0,5.821447162935971,0.0,1.7,1.8,TACTICAL,17747,15.0,14.0,11.0,4.0,1445.0,195.0,28.0,1944
MITROVICA,TROOP CONCENTRATION,BOOK_15_TACTICAL,13.0,0.0,0,5.60975186534791,0.0,1.7,1.8,TACTICAL,17748,15.0,17.0,11.0,4.0,904.0,200.0,28.0,1944
MITROVICA,TROOP CONCENTRATION,BOOK_15_TACTICAL,67.0,0.0,0,7.838278674301579,0.0,2.4,2.5,TACTICAL,17749,15.0,7.0,11.0,4.0,1217.0,180.0,28.0,1944
MITTERSILL,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8,TRANSPORTATION,17750,15.0,22.0,11.0,4.0,1325.0,250.0,1.0,1944
MODANE,TIRE FACTORY,BOOK_5_RUBBER,27.0,0.0,0,6.333159812597605,0.0,1.9,2.0,RUBBER,17751,8.0,16.0,9.0,3.0,108.0,213.0,15.0,1943
MODANE,TIRE FACTORY,BOOK_5_RUBBER,9.0,0.0,0,5.230956099253861,0.0,1.6,1.6,RUBBER,17752,8.0,22.0,9.0,3.0,1300.0,213.0,5.0,1943
MODENA,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,108.0,0.0,0,8.67725143154607,0.0,2.6,2.7,TRANSPORTATION,17753,15.0,14.0,2.0,4.0,1348.0,200.0,35.0,1944
MODENA,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,90.0,0.0,0,8.372201978136388,0.0,2.5,2.6,TRANSPORTATION,17754,15.0,15.0,2.0,4.0,1350.0,225.0,30.0,1944
MODENA,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,134.0,0.0,0,8.902307825785181,0.0,2.7,2.8,TRANSPORTATION,17755,15.0,16.0,5.0,4.0,1441.0,205.0,67.0,1944
MODENA,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,70.0,0.0,0,7.923824397015443,0.0,2.4,2.5,TRANSPORTATION,17756,15.0,17.0,5.0,4.0,1200.0,220.0,30.0,1944
